Public toilet,Hospital,Park,Shopping mall,Hotel,Restaurant,Petrol Station,Mosque,Others,Name of the Place,Latitude,Longitude,Location,Separate female washroom,Handicapped washroom facility,Kids Feeding corner ,Separate female prayer room,kids and women refreshing area,Others
,,,,,,,Yes ,,Gazir Darah Mosque.Jhikorgacha.Jashore,23.12046617,89.12879334,https://maps.app.goo.gl/3fe59bXb8qMbwt8k6,Yes ,,,,,
,,,,,,Yes,,,Dorgah filling station .Sadar.Jashore,23.12191318,89.13068183,https://maps.app.goo.gl/323qb8H5FaggrZVm9,Yes ,,,,,
,,,,,,,Yes ,,Natun hut bazar jame mosque .Jashore ,23.1266998,89.14071139,https://maps.app.goo.gl/kRoYk9yH56qTuzJcA,,,,,,
,,,,,,Yes ,,,Gulf Lubricants.Jashore ,23.04699424,88.82802304,https://maps.app.goo.gl/RGGY71H55c3pGjBeA,,,,,,
,,,,,,Yes,,,Malonchi bazar gas filling station .jashore ,23.06644716,88.92545071,https://maps.app.goo.gl/XGirDKKeAY4i7dQ46,Yes ,,,,,
,,,,,,,Yes ,,Central Jame mosque.Pulerhat,23.17291592,89.18920781,https://maps.app.goo.gl/pTedhjrbmK9UZAt29,,,,,,
,,,,,,Yes ,,,New Akij petrolium.Chachra pulerhat,23.1440469,89.19249948,https://maps.app.goo.gl/r3aZD2vHNGYakfew6,Yes ,,,,,
,,,,,,Yes ,,,BADC Mosque .Chachra.Jashore ,23.14626442,89.19548362,https://maps.app.goo.gl/M5vHLvNPrBEbtisy6,Yes ,,,Yes ,,
Yes ,,,,,,,,,Chachra checkpost.Jashore ,23.14418083,89.19601164,https://maps.app.goo.gl/ngV1cWcYjLgov7uz9,Yes ,,,,,
,,,,,,Yes ,,,Loujani bazar jame mosque.Jhikorgacha ,23.11847647,89.12276014,https://maps.app.goo.gl/bEcsWYTaNfSZo51P8,,,,,,
,,,,,,Yes ,,,Mollikpur jame mosque .Jhikorgacha ,23.11522916,89.12360113,https://maps.app.goo.gl/83FU6XoAx6sbFQx18,,,,,,
,,,,,,Yes ,,,Mollikpur gussogram jame mosque .Jhikorgacha ,23.11323907,89.12100505,https://maps.app.goo.gl/1jZGrkkojUumArVt8,,,,,,
,,,,,,Yes ,,,Kritipur jame masjid.Jhikorgacha ,23.10957246,89.11031944,https://maps.app.goo.gl/Ujq1B473eifCCe5i8,,,,,,
,Yes ,,,,,,,,Alimon Nessa diabetics hospital.Jhilkorgacha,23.10735594,89.10778724,https://maps.app.goo.gl/CAVoh9sRsBq7RoWn6,Yes ,,,,,
,,,,,,,,Yes ,Jhikorgacha darululum kamil madrasha ,23.10414644,89.10476772,https://maps.app.goo.gl/6jtT7Lj29etBYLwm6,Yes ,,,,,
,,,,,,,Yes ,,B.M high school mosque .Jhikorgacha ,23.10437783,89.10558314,https://maps.app.goo.gl/ipYirRWq7ojokWKn9,,,,,,
,,,,,,,,Yes ,Raju market bus counter.Jhikorgacha ,23.10188328,89.10054725,https://maps.app.goo.gl/dvjpAKaLfDF6y1WF7,,,,,,
,,,,,,Yes ,,,Morshad brother filling station.Jhikorgacha,23.10515968,89.1040119,https://maps.app.goo.gl/wDG2TKjeJurqJgr9A,Yes ,,,,,
,Yes ,,,,,,,,Jhikorgacha private clinic.Jhikorgacha,23.10096996,89.09906589,https://maps.app.goo.gl/xdmDAut5JyJKyxrX9,Yes ,Yes ,,Yes ,,
,,,,,,,,Yes ,Famous diagnosnis center.Jhikorgacha ,23.10400141,89.10331606,https://maps.app.goo.gl/1SB9qKwHUfZxYwYV9,Yes ,Yes ,,,,
,,,,,,,Yes ,,Charatola jame mosjid .Godkhaali,23.07218088,89.03335336,https://maps.app.goo.gl/zEeNc4LX13PnQAwj9,,,,,,
,Yes ,,,,,,,,Saleha Clilic and Diagnostic center.Jhikorgacha,23.09561763,89.09158497,https://maps.app.goo.gl/rZWn2WDR1voh1dde6,Yes ,Yes ,,,,
,,,Yes ,,,,,,Nishana shopping complex.Jhikorgacha ,23.101917,89.1011911,https://maps.app.goo.gl/6Zp7kvFsAXz6xQwW9,,,,,,
,,,,,,Yes ,,,Meherab filling station .Jhikorgacha ,23.08711441,89.06347989,https://maps.app.goo.gl/oPcXXZ2jr9ZL3Wxb7,Yes ,,,,,
,,,,,,,Yes ,,Balikhola jame mosque .Jhikorgacha ,23.09561643,89.07925688,https://maps.app.goo.gl/LeRTNBUocDbjoUv98,,,,,,
,,,,,,Yes ,,,Par bazar avotpoth jame mosjid.Jhikorgacha ,23.09970707,89.09956497,https://maps.app.goo.gl/aVepUX8AYKbwjXcu8,,,,,,
,,,,,,,Yes ,,Jhikorgacha bus stand jame mosque,23.10050274,89.09928069,https://maps.app.goo.gl/8UNir1zaH5wasnEv5,Yes ,,,,,
,,,,,Yes ,,,,Trisha Caf�.Beniali bazar.Godkhali,23.08066953,89.05836659,https://maps.app.goo.gl/RbQAs5xfaE4wM9MU7,,,,,,
,,,,,,Yes ,,,Molla filling station.Godkhali,23.1001857,89.10007459,https://maps.app.goo.gl/5uA2ZqXn7wXE9Zny5,Yes ,,,,,
,,,,,,Yes ,,,Mohitun filling station.kolagachi,23.07046285,89.02690327,https://maps.app.goo.gl/YUJ2qit7zu2zZCtSA,Yes ,,,,,
,,,,,,Yes ,,,Purbpara Jame mosque.Kolagachi,23.06512721,89.01911757,https://maps.app.goo.gl/GDwG17XXhbvzJAhU8,,,,,,
,,,,,,Yes ,,,Shahjahan filling station.Navaron,23.06380716,89.01737091,https://maps.app.goo.gl/HUAaZs8ea8RNdjRc9,Yes ,,,,,
,,,,,,Yes ,,,Faiyaz filling station.Navaror,23.06097193,89.0110598,https://maps.app.goo.gl/yNXy9JKfuKfJ7f6G9,,,,,,
,,,,,,Yes ,,,Darul kuran model jame mosque.Navaron,23.0622489,88.99844951,https://maps.app.goo.gl/99bHA6SjfjjKtf5n9,,,,,,
,,,,,,Yes ,,,Navaron kashari jame mosque,23.05841438,89.0012148,https://maps.app.goo.gl/wuhH3NEUHhe7toKt7,,,,,,
,Yes ,,,,,,,,Navaron city hospital,23.05851422,89.00061001,https://maps.app.goo.gl/eeD717fDBhHJ9PUr7,Yes ,Yes ,,,,
,,,,,,Yes ,,,Navaron Satkhira mor jame mosjid,23.05859386,88.99942074,https://maps.app.goo.gl/dR5HgE3R3AGP4WwW9,,,,,,
Yes ,,,,,,,,,Sharsha Bazar .Jashore,23.0576996,88.99212203,https://maps.app.goo.gl/QVNyKgw5o9fpHeoA7,Yes ,,,,,
,Yes ,,,,,,,,AC Lab clinic and diagnostic center.Navaron,23.05776444,88.99456247,https://maps.app.goo.gl/StGzyPA5nhGgiA6H7,Yes ,,,,,
,Yes ,,,,,,,,Sharsha upazilla health complex ,23.05432852,88.9893739,https://maps.app.goo.gl/6c1HC52V2oVi98T7A,Yes ,Yes ,Yes,,,
,Yes ,,,,,,,,Shaba Clinic and Diagnostic center.Sharsha,23.05859201,88.98819842,https://maps.app.goo.gl/A9Xh5GF7YwGTwp1t5,Yes ,,,,,
,,,,,,Yes ,,,Navara filling station.Sharsha,23.05802035,88.9867898,https://maps.app.goo.gl/1RVFfCacU4X3on5m7,Yes ,,,,,
,,,,,,,Yes,,Mosjid E Nur. Sharsha.Jashore,23.05665694,88.95987519,https://maps.app.goo.gl/ek7KdVgCPRQger438,,,,,,
,,,,,,Yes ,,,Shymoli filling station.Sharsha,23.05602013,88.96406012,https://maps.app.goo.gl/pCgxPvVSYRbWE9c19,Yes ,,,,,
,,,,,,,Yes,,Talshari jame mosque,23.04680291,88.90975411,https://maps.app.goo.gl/xnsRWcwUfHL1uAfb6,,,,,,
,,,,Yes ,,,,,Parjaton Motel Benapol,23.04615781,88.90822858,https://maps.app.goo.gl/USkFzPKEGSgruHWNA,Yes ,,,,,
,,,,,,,Yes ,,Benapol Bazar Jame Mosque,23.04578361,88.9025547,https://maps.app.goo.gl/sixj7Cg9AG5oAG949,,,,,,
,,,,,,,Yes ,,Baitul Aman Jame Mosque.Benapol,23.0410858,88.89020016,https://maps.app.goo.gl/MfRnypxBe6mEC4Ms9,,,,,,
,,,,,,,Yes ,,Noor Jame Mosque.Benapol,23.04898678,88.91551775,https://maps.app.goo.gl/k8nkXF746VahFPng9,,,,,,
,,,,,,Yes ,,,Shahjalal Filling Station .Benapol,23.04840685,88.91724083,https://maps.app.goo.gl/3qJs7wtuRaEMLuvHA,Yes ,,,,,
,,,,,,Yes ,,,M/S Benapol Filling Station,23.05054471,88.92545893,https://maps.app.goo.gl/v2EUYN9L6vMbgqxj9,,,,,,
,,,,,,Yes ,,,Benapol filling station,23.04604905,88.90768341,https://maps.app.goo.gl/dqfG5FEkqDtM1Ke48,Yes ,,,,,
Yes ,,,,,,,,,Benapol Bus Stand Public T oilet,23.046354,88.90606051,https://maps.app.goo.gl/tiwHBVGsKEuwSpWNA,Yes ,Yes ,,,,
,,,,,,,,Yes ,Shohag Paribahan.Benapol,23.04476156,88.89982557,https://maps.app.goo.gl/Zxz4Giv1WAGW38ic7,,,,,,
Yes ,,,,,,,,,Benapol Rent A Car Stand.Benapol,23.04431349,88.89936227,https://maps.app.goo.gl/AVcvFqmjMTgE6p8W8,Yes ,Yes ,,,,
Yes ,,,,,,,,,Benapol Bus Terminal Public T oilet,23.03938199,88.88613456,https://maps.app.goo.gl/RvGVwRCSg33j1ios5,Yes ,Yes ,,,,
,,,Yes,,,,,,Benapol diagnostic center.Benapol,23.04481214,88.90307318,https://maps.app.goo.gl/RgdBe28ykDsMs4kGA,Yes ,,Yes,,,
,Yes ,,,,,,,,Rahman Chamber ,23.04467248,88.90123497,https://maps.app.goo.gl/GySX423QLztrEH7b8,Yes ,,,Yes,,
,Yes ,,,,,,,,Baitul Aman Jame Mosque ,23.04106115,88.89025378,https://maps.app.goo.gl/NcppMK2WxjE49NvZ8,,,,,,
